prompt,regime,layer,head,T,budget,read_ratio,method,rel_l2,cosine,extra_floats
longdoc_qa,longdoc,1,3,3068,16,0.005215123859191656,cheap_block_residual,0.5511744006259552,0.932784651115,12160
longdoc_qa,longdoc,1,3,3068,16,0.005215123859191656,oracle_mass_global,0.4151816012072805,0.9265036658048391,64
longdoc_qa,longdoc,1,3,3068,16,0.005215123859191656,oracle_mass_block,0.4081402524832835,0.9291463927656514,6080
longdoc_qa,longdoc,1,3,3068,16,0.005215123859191656,lowrank_k8,0.4347330528001786,0.9176588675545881,512
longdoc_qa,longdoc,1,3,3068,32,0.010430247718383311,sparse_renorm,0.6032211286769823,0.9406598148216053,0
longdoc_qa,longdoc,1,3,3068,32,0.010430247718383311,cheap_block_residual,0.4193786189015247,0.9531200453765832,12160
longdoc_qa,longdoc,1,3,3068,32,0.010430247718383311,oracle_mass_global,0.33605889498704455,0.9487105923335966,64
longdoc_qa,longdoc,1,3,3068,32,0.010430247718383311,oracle_mass_block,0.33253367290564634,0.9497841379941246,6080
longdoc_qa,longdoc,1,3,3068,32,0.010430247718383311,lowrank_k8,0.35456194262439544,0.9418924404182102,512
longdoc_qa,longdoc,1,3,3068,64,0.020860495436766623,sparse_renorm,0.4290698181871154,0.9646599500121493,0
longdoc_qa,longdoc,1,3,3068,64,0.020860495436766623,cheap_block_residual,0.28712802006034466,0.9741982524149637,12160
longdoc_qa,longdoc,1,3,3068,64,0.020860495436766623,oracle_mass_global,0.24733104092014094,0.9707522813493942,64
longdoc_qa,longdoc,1,3,3068,64,0.020860495436766623,oracle_mass_block,0.24377273609933287,0.9715563480883596,6080
longdoc_qa,longdoc,1,3,3068,64,0.020860495436766623,lowrank_k8,0.26541889534707225,0.9658815346084346,512
longdoc_qa,longdoc,1,4,3068,8,0.002607561929595828,sparse_renorm,0.1601750427721185,0.9989725316253605,0
longdoc_qa,longdoc,1,4,3068,8,0.002607561929595828,cheap_block_residual,0.08522922002009725,0.9996242908753099,12160
