dc,native_elems,latent_elems,bytes_ratio,rl2_latent,logit_spearman,rl2_sparse_orig,rl2_sparse_latent,sparse_support,model,regime,layer
32,256,32,0.125,0.48902104424425286,0.9569462838648466,0.004258746554217178,0.48859501933617683,0.8780487804878049,0.5B,longdoc,7
64,256,64,0.25,0.6025927214775787,0.9818167237320639,0.00020667199289101738,0.6024503707280006,0.8414634146341463,0.5B,longdoc,7
64,256,64,0.25,1.1833148228424988,0.9813397279295536,0.007266204103325592,1.1817035907415614,0.8292682926829268,0.5B,longdoc,7
64,256,64,0.25,0.9095572139777968,0.9785069182975616,0.004031601675573837,0.9082786832978248,0.8048780487804879,0.5B,longdoc,7
64,256,64,0.25,0.36925966467291454,0.9815318582747494,8.826810237749876e-05,0.3692783998719506,0.8170731707317073,0.5B,longdoc,7
64,256,64,0.25,0.38984897700414667,0.9758286276627631,0.004258746554217178,0.3909033241184901,0.8902439024390244,0.5B,longdoc,7
128,256,128,0.5,0.21462083224780776,0.9992439178881336,0.00020667199289101738,0.2146705192438329,0.975609756097561,0.5B,longdoc,7
128,256,128,0.5,0.9438660728656074,0.9991588831261439,0.007266204103325592,0.9421499652826903,0.9634146341463414,0.5B,longdoc,7
128,256,128,0.5,0.7355592108003158,0.9987917339174738,0.004031601675573837,0.7347873266033749,0.975609756097561,0.5B,longdoc,7
128,256,128,0.5,0.12053575021232618,0.9988920696699921,8.826810237749876e-05,0.12053774416995588,0.9512195121951219,0.5B,longdoc,7
128,256,128,0.5,0.17044309089504228,0.9984413369910284,0.004258746554217178,0.1708378565641003,0.9634146341463414,0.5B,longdoc,7
192,256,192,0.75,0.07295648953630744,0.9998718441853282,0.00020667199289101738,0.07300815506714227,0.9878048780487805,0.5B,longdoc,7
192,256,192,0.75,0.7611067776474921,0.9998521070722816,0.007266204103325592,0.7581933398538283,0.9878048780487805,0.5B,longdoc,7
192,256,192,0.75,0.598438885525347,0.9998484034932198,0.004031601675573837,0.5970600625258075,1.0,0.5B,longdoc,7
