prompt,regime,layer,head,T,method,eff_bits,storage_ratio,rel_l2,cosine,js,topk_overlap
longdoc_qa,longdoc,14,3,3068,adapt_imp_h8l4f10,4.400260756192959,0.27501629726205995,0.029448665929808243,0.9995826748629657,0.0017429756015244805,1.0
longdoc_qa,longdoc,14,3,3068,adapt_imp_h8l4f25,5.0,0.3125,0.020974600227543754,0.9997961535103158,0.0006440124194243826,1.0
longdoc_qa,longdoc,14,3,3068,adapt_imp_h8l2f10,2.6003911342894392,0.16252444589308995,4.36076319081931,0.3072594671740113,0.5848065859267522,0.125
longdoc_qa,longdoc,14,3,3068,adapt_imp_h8l2f25,3.5,0.21875,4.733986121577516,0.26240346746736404,0.5880231669417347,0.125
longdoc_qa,longdoc,14,3,3068,adapt_imp_h4l2f25,2.5,0.15625,4.7234813008204055,0.26406820157471306,0.586054183764754,0.125
longdoc_qa,longdoc,14,3,3068,adapt_margin_h8l4f10,4.400260756192959,0.27501629726205995,0.13969455742743023,0.9904272462558208,0.00176282218881225,1.0
longdoc_qa,longdoc,14,3,3068,adapt_margin_h8l4f25,5.0,0.3125,0.020974600227543754,0.9997961535103158,0.0006440124194243826,1.0
longdoc_qa,longdoc,14,3,3068,adapt_margin_h8l2f25,3.5,0.21875,4.733986121577516,0.26240346746736404,0.5880231669417347,0.125
longdoc_qa,longdoc,14,3,3068,recent64_r8o2,2.1251629726205996,0.13282268578878748,3.7635133447955726,0.3945207916708775,0.5503363700128648,0.125
longdoc_qa,longdoc,14,3,3068,recent128_r8o2,2.2503259452411997,0.14064537157757498,3.7470532254765665,0.39526753268926934,0.5508873019169889,0.125
longdoc_qa,longdoc,14,3,3068,recent64_r8o4,4.083441981747066,0.25521512385919165,0.3166082413822548,0.9663676659450054,0.017107027506367653,0.5
longdoc_qa,longdoc,14,3,3068,recent128_r8o4,4.166883963494133,0.2604302477183833,0.31630831504606693,0.9663957036181954,0.016972872831938747,0.5
longdoc_qa,longdoc,14,3,3068,routed_r8bg2,2.0625814863103,0.12891134289439374,3.854090597981549,0.3396425673357542,0.549023779857437,0.125
longdoc_qa,longdoc,14,3,3068,routed_r8bg4,4.041720990873533,0.2526075619295958,0.10244108330216525,0.9950757675838143,0.009888390422160599,0.875
longdoc_qa,longdoc,14,3,3068,routed_r16bg2,2.146023468057366,0.1341264667535854,3.8541839851955646,0.3396181622764147,0.5490938610978919,0.125
longdoc_qa,longdoc,14,4,3068,uniform_8bit,8.0,0.5,0.026548886923473645,0.9999058267689537,0.00010592314437255944,1.0
longdoc_qa,longdoc,14,4,3068,uniform_4bit,4.0,0.25,0.1303164295497664,0.991472471806141,0.006792769474884694,0.875
longdoc_qa,longdoc,14,4,3068,uniform_3bit,3.0,0.1875,1.194538870002024,0.8978419260180711,0.21604877255195087,0.625
longdoc_qa,longdoc,14,4,3068,uniform_2bit,2.0,0.125,3.149530047458432,0.20104424221820624,0.596388442353547,0.25
longdoc_qa,longdoc,14,4,3068,adapt_imp_h8l4f10,4.400260756192959,0.27501629726205995,0.02001328458015664,0.9999392503254988,0.00011868705670926025,1.0
longdoc_qa,longdoc,14,4,3068,adapt_imp_h8l4f25,5.0,0.3125,0.020014688407697833,0.999939248716505,0.00011748687095423406,1.0
longdoc_qa,longdoc,14,4,3068,adapt_imp_h8l2f10,2.6003911342894392,0.16252444589308995,1.0053946532266105,0.5052993456378316,0.2726358867188988,1.0
longdoc_qa,longdoc,14,4,3068,adapt_imp_h8l2f25,3.5,0.21875,0.9460398288683577,0.5579896058124872,0.23621141824829742,1.0
longdoc_qa,longdoc,14,4,3068,adapt_imp_h4l2f25,2.5,0.15625,1.1684786711096637,0.321667548448375,0.3068940933157538,0.75
longdoc_qa,longdoc,14,4,3068,adapt_margin_h8l4f10,4.400260756192959,0.27501629726205995,0.02001328458015664,0.9999392503254988,0.00011868705670926025,1.0
longdoc_qa,longdoc,14,4,3068,adapt_margin_h8l4f25,5.0,0.3125,0.020014688407697833,0.999939248716505,0.00011748687095423406,1.0
longdoc_qa,longdoc,14,4,3068,adapt_margin_h8l2f25,3.5,0.21875,0.9460398288683577,0.5579896058124872,0.23621141824829742,1.0
longdoc_qa,longdoc,14,4,3068,recent64_r8o2,2.1251629726205996,0.13282268578878748,2.839828629401226,0.11593913788570008,0.64369008112389,0.125
longdoc_qa,longdoc,14,4,3068,recent128_r8o2,2.2503259452411997,0.14064537157757498,2.8407263964780873,0.11591334438435888,0.6436876347711726,0.125
longdoc_qa,longdoc,14,4,3068,recent64_r8o4,4.083441981747066,0.25521512385919165,0.04786556985980315,0.9989216900846136,0.0015661022979497666,1.0
longdoc_qa,longdoc,14,4,3068,recent128_r8o4,4.166883963494133,0.2604302477183833,0.047864890300265424,0.99892170705448,0.001565695931167612,1.0
longdoc_qa,longdoc,14,4,3068,routed_r8bg2,2.0625814863103,0.12891134289439374,1.1172337336432983,0.3859504308088276,0.330067115747,0.875
longdoc_qa,longdoc,14,4,3068,routed_r8bg4,4.041720990873533,0.2526075619295958,0.01971929899285004,0.9999397616246694,0.00025283599326358897,1.0
longdoc_qa,longdoc,14,4,3068,routed_r16bg2,2.146023468057366,0.1341264667535854,1.1250640718888871,0.37775771937256436,0.33229073324999714,0.875
longdoc_qa,longdoc,14,5,3068,uniform_8bit,8.0,0.5,0.011277185160178664,0.999958364062953,6.397739274029905e-05,1.0
longdoc_qa,longdoc,14,5,3068,uniform_4bit,4.0,0.25,0.18976689120982848,0.9819034785853602,0.026645895803736663,0.75
longdoc_qa,longdoc,14,5,3068,uniform_3bit,3.0,0.1875,0.30709254584177653,0.9636760629169708,0.07239882527389249,0.625
longdoc_qa,longdoc,14,5,3068,uniform_2bit,2.0,0.125,0.86428757296489,0.8646796364584348,0.1609695292443184,0.625
longdoc_qa,longdoc,14,5,3068,adapt_imp_h8l4f10,4.400260756192959,0.27501629726205995,0.02372209571151122,0.9997559327226866,0.0010035749945178974,1.0
longdoc_qa,longdoc,14,5,3068,adapt_imp_h8l4f25,5.0,0.3125,0.02388801123432278,0.9997550624792734,0.0004815162680367114,1.0
