prompt,regime,layer,head,T,entropy,gini,value_spectral,margin_top16,mass_top16,oracle_rl2_s16,jl_rl2_s16,quant4_rl2
short_qa,short,7,8,44,1.5881255169410071,0.9151240721597987,0.15830921998670427,0.004112663253867055,0.9978728739290413,0.002785126833129426,0.09217286524793027,0.6179197866619792
short_qa,short,7,9,44,1.7792939416985936,0.8885434292794081,0.15830921998670427,0.07955999666701263,0.9855536607190641,0.018094809589032108,0.49446798862941554,0.692341778864819
short_qa,short,7,10,44,1.82943214485966,0.8795784327615146,0.15830921998670427,0.05021957761167162,0.979075627494351,0.022335160259459516,1.0259542891330864,1.1466159874231787
short_qa,short,7,11,44,1.311466582725353,0.9342504301667564,0.15830921998670427,0.1263320202914766,0.9982385513992923,0.002870351998229406,1.05631637220802,0.743358036790681
short_qa,short,7,12,44,1.8255536122717348,0.8826693513546003,0.15830921998670427,0.11240994627539713,0.9828896411103167,0.023735975786095702,0.9465364795630655,0.68039201174104
short_qa,short,7,13,44,2.077095031242955,0.8622537180513977,0.15830921998670427,0.031445949777876514,0.9850250959816156,0.013799148381144101,0.7083257446144365,0.2601862694022494
short_qa,short,8,0,44,2.4175888235534857,0.7884698752409871,0.22030021126103783,0.39743955906900297,0.9368529782725576,0.07743818835730908,0.6052763038502089,0.4401283177012569
short_qa,short,8,1,44,2.3546030216575513,0.7858339896052197,0.22030021126103783,0.10162671756076946,0.9130381881907238,0.11350996875312133,0.17668448551889882,0.3759254626486639
short_qa,short,8,2,44,2.35160337618689,0.8127409503365648,0.22030021126103783,0.18498487190770874,0.9633497905883492,0.04195272991288317,0.059019400221073715,0.26902431389893583
short_qa,short,8,3,44,0.008229934652280804,0.9772200304349806,0.22030021126103783,0.3779759517223127,0.9999999997188259,3.1273707745274587e-10,7.570458266360765e-09,0.5598841992132264
short_qa,short,8,4,44,1.7244595278012644,0.901279182513676,0.22030021126103783,0.014738541922021398,0.9930835397318584,0.007724789378363826,0.015983341896838324,0.24505888417639668
short_qa,short,8,5,44,1.9780608735253473,0.8716086050696847,0.22030021126103783,0.2252133268919394,0.9954735917680747,0.00548699589919357,0.3120889528082997,0.4305360798517208
short_qa,short,8,6,44,1.5135643029522499,0.8927934655993205,0.22030021126103783,0.04377217905582853,0.9696605465087496,0.04392197882134174,2.185843540874028,0.43928464668832595
short_qa,short,8,7,44,0.9247641318239275,0.9549065744902702,0.23550863922897666,0.015123964073895824,0.9999798188449555,1.7060158719111004e-05,0.29236904460872776,0.18546541822547397
short_qa,short,8,8,44,1.5262355073014977,0.9188638410964505,0.23550863922897666,0.30847175596662524,0.9964947918838233,0.005176808008488433,0.9255017802713701,0.16125600871134563
short_qa,short,8,9,44,1.999704529486625,0.8713226419582631,0.23550863922897666,0.09362016618318192,0.9860111913062605,0.01836994990655995,0.8095129601180282,0.22399381619969025
short_qa,short,8,10,44,1.8016865430722757,0.8653383420235357,0.23550863922897666,0.11069351940054872,0.9719625740678964,0.05621978915807894,2.9551830160775188,0.23389511402707702
short_qa,short,8,11,44,1.8766660793674463,0.8807643982363459,0.23550863922897666,0.002575019147724955,0.9850342045984721,0.018994025235602667,1.8408693908189817,0.14445137008582062
short_qa,short,8,12,44,1.4283420554042963,0.9209521226201133,0.23550863922897666,0.0057719132997124944,0.9915712579623841,0.013678622317306975,1.4548887781144062,0.17250944835384432
short_qa,short,8,13,44,1.903917943658075,0.8754306970935674,0.23550863922897666,0.04545418643292187,0.9820062028142619,0.026527121314007945,1.939374686847959,0.15878603910807615
short_qa,short,9,0,44,0.7794216144448368,0.9522788651114176,0.15895539269424191,0.06289532999441239,0.9961916579116843,0.00869377566457576,0.041199382834895715,0.18320244726041457
short_qa,short,9,1,44,1.168398343027434,0.9349186895485939,0.15895539269424191,0.1825054181128225,0.993042688780637,0.006402953480400235,0.029458671374921665,0.2423256750838824
short_qa,short,9,2,44,2.408219347026061,0.8076437005196158,0.15895539269424191,0.05650104271317513,0.9546862967286411,0.05842648354607483,0.35525734068273557,0.1800139512152675
short_qa,short,9,3,44,2.4294590769852817,0.7883760095037353,0.15895539269424191,0.0059290874635462565,0.9397503790705298,0.08410591019138261,0.2046979615158318,0.18596815756676852
short_qa,short,9,4,44,0.6659410115775344,0.9467423494428568,0.15895539269424191,0.004195836115200358,0.9901634496390205,0.021545461731307232,0.0815907039518562,0.11978794843963793
