prompt,regime,layer,head,T,method,param,budget,read,read_ratio,rel_l2,cosine,mass_retained,oracle_recall,pass_mod
short_qa,short,0,5,44,block_centroid,32,8,32,0.7272727272727273,3.133212934199207e-11,0.999999999988257,0.9999999999767243,1.0,True
short_qa,short,0,5,44,block_upperbound,32,8,32,0.7272727272727273,3.133212934199207e-11,0.999999999988257,0.9999999999767243,1.0,True
short_qa,short,0,5,44,recency_router,64,8,8,0.18181818181818182,1.532379840953102,0.12918837358121402,1.8061226218128e-11,0.0,False
short_qa,short,0,5,44,sink_recent_router,64,8,12,0.2727272727272727,1.5323625172147994,0.12919415911307094,1.8061481986205755e-11,0.0,False
short_qa,short,0,5,44,jl,8,16,16,0.36363636363636365,2.5550996810909195e-07,0.9999999999882385,0.9999997510138139,0.6875,True
short_qa,short,0,5,44,jl,16,16,16,0.36363636363636365,4.9684349563276096e-11,0.9999999999882568,0.999999999949415,0.75,True
short_qa,short,0,5,44,jl,32,16,16,0.36363636363636365,3.805349138658587e-11,0.999999999988257,0.9999999999591371,0.75,True
short_qa,short,0,5,44,jl,64,16,16,0.36363636363636365,3.554293976780529e-11,0.9999999999882568,0.9999999999619136,0.75,True
short_qa,short,0,5,44,jl,128,16,16,0.36363636363636365,2.7962753792848642e-11,0.9999999999882568,0.9999999999806187,0.8125,True
short_qa,short,0,5,44,block_centroid,32,16,32,0.7272727272727273,3.133212934199207e-11,0.999999999988257,0.9999999999767243,0.75,True
short_qa,short,0,5,44,block_upperbound,32,16,32,0.7272727272727273,3.133212934199207e-11,0.999999999988257,0.9999999999767243,0.75,True
short_qa,short,0,5,44,recency_router,64,16,16,0.36363636363636365,1.4045201048250404,0.17021131593887445,2.23668618838443e-11,0.25,False
short_qa,short,0,5,44,sink_recent_router,64,16,20,0.45454545454545453,1.4045078349442057,0.17021637340328918,2.2367117651922056e-11,0.25,False
short_qa,short,0,5,44,jl,8,32,32,0.7272727272727273,3.4706174085653735e-11,0.9999999999882568,0.9999999999645696,0.78125,True
short_qa,short,0,5,44,jl,16,32,32,0.7272727272727273,2.805841259563257e-11,0.999999999988257,0.999999999981721,0.8125,True
short_qa,short,0,5,44,jl,32,32,32,0.7272727272727273,7.896265324277032e-13,0.999999999988257,0.9999999999984535,0.90625,True
short_qa,short,0,5,44,jl,64,32,32,0.7272727272727273,3.156161077682636e-11,0.9999999999882568,0.9999999999677515,0.84375,True
short_qa,short,0,5,44,jl,128,32,32,0.7272727272727273,2.8113141840586956e-11,0.9999999999882571,0.999999999981722,0.84375,True
short_qa,short,0,5,44,block_centroid,32,32,32,0.7272727272727273,3.133212934199207e-11,0.999999999988257,0.9999999999767243,0.6875,True
short_qa,short,0,5,44,block_upperbound,32,32,32,0.7272727272727273,3.133212934199207e-11,0.999999999988257,0.9999999999767243,0.6875,True
short_qa,short,0,5,44,recency_router,64,32,32,0.7272727272727273,1.534140977734801e-13,0.999999999988257,0.9999999999988299,0.875,True
