regime,policy,block_size,budget,rl2_med,rl2_p90,read_ratio,pass10,mass,support,over_read,n,model,ctx
lenshift,block_oracle,64,0.02,0.02345900757351864,0.36976266516961287,0.02564102564102564,0.7410714285714286,0.9260560423203091,0.5033630952380952,1.28,336,0.5B,8192
lenshift,block_oracle,64,0.05,0.016371281064441787,0.3189380172564448,0.05128205128205128,0.7857142857142857,0.9408471867347162,0.4248095238095238,1.024,336,0.5B,8192
lenshift,block_oracle,64,0.1,0.010783758755871191,0.23181077956298957,0.10256410256410256,0.8035714285714286,0.95384165503429,0.42860119047619044,1.024,336,0.5B,8192
lenshift,block_oracle,64,0.15,0.008057765300356075,0.19646160676762975,0.15384615384615385,0.8154761904761905,0.9614531856702846,0.45836512174963445,1.0253671562082778,336,0.5B,8192
lenshift,block_oracle,128,0.0025,0.4585047125158809,1.0396396136811576,0.02564102564102564,0.16666666666666666,0.7187502983649002,0.6291208791208791,9.846153846153847,336,0.5B,8192
lenshift,block_oracle,128,0.005,0.4585047125158809,1.0396396136811576,0.02564102564102564,0.16666666666666666,0.7187502983649002,0.5716666666666667,5.12,336,0.5B,8192
lenshift,block_oracle,128,0.01,0.4585047125158809,1.0396396136811576,0.02564102564102564,0.16666666666666666,0.7187502983649002,0.4619642857142857,2.56,336,0.5B,8192
lenshift,block_oracle,128,0.02,0.4585047125158809,1.0396396136811576,0.02564102564102564,0.16666666666666666,0.7187502983649002,0.3488988095238095,1.28,336,0.5B,8192
lenshift,block_oracle,128,0.05,0.018266484037053977,0.3353544724191798,0.05128205128205128,0.7797619047619048,0.9372149372174774,0.3899047619047619,1.024,336,0.5B,8192
lenshift,block_oracle,128,0.1,0.012056411981167523,0.24671789941281438,0.10256410256410256,0.7976190476190477,0.9515755187343581,0.4060416666666667,1.024,336,0.5B,8192
lenshift,block_oracle,128,0.15,0.009092587799054398,0.19979663162039707,0.15384615384615385,0.8095238095238095,0.9599608995384725,0.43513573653760573,1.0253671562082778,336,0.5B,8192
lenshift,block_oracle,256,0.0025,0.4585047125158809,1.0361674195150181,0.03533272283272283,0.16666666666666666,0.7209310395066778,0.6336996336996338,13.56776556776557,336,0.5B,8192
lenshift,block_oracle,256,0.005,0.4585047125158809,1.0361674195150181,0.03533272283272283,0.16666666666666666,0.7209310395066778,0.579404761904762,7.055238095238095,336,0.5B,8192
lenshift,block_oracle,256,0.01,0.4585047125158809,1.0361674195150181,0.03533272283272283,0.16666666666666666,0.7209310395066778,0.47619047619047616,3.5276190476190474,336,0.5B,8192
lenshift,block_oracle,256,0.02,0.4585047125158809,1.0361674195150181,0.03533272283272283,0.16666666666666666,0.7209310395066778,0.3717857142857143,1.7638095238095237,336,0.5B,8192
lenshift,block_oracle,256,0.05,0.4585047125158809,1.0361674195150181,0.03533272283272283,0.16666666666666666,0.7209310395066778,0.2402857142857143,0.7055238095238096,336,0.5B,8192
lenshift,block_oracle,256,0.1,0.016682869743513122,0.305251595788345,0.07715201465201466,0.7797619047619048,0.943105135057497,0.3101488095238095,0.7702857142857144,336,0.5B,8192
lenshift,block_oracle,256,0.15,0.011936258737015499,0.23039098569032587,0.12835775335775335,0.8005952380952381,0.95409951797309,0.3635521965795664,0.8554898594952001,336,0.5B,8192
lenshift,centroid,16,0.0025,0.7406204103752724,4.09384222795377,0.003205128205128205,0.07142857142857142,0.4730384348151625,0.6481227106227107,1.2307692307692308,336,0.5B,8192
lenshift,centroid,16,0.005,0.40334411569411305,2.726839212688621,0.00641025641025641,0.17261904761904762,0.6297597953513362,0.643452380952381,1.28,336,0.5B,8192
lenshift,centroid,16,0.01,0.25543571308561497,1.4992134773520207,0.009615384615384616,0.28273809523809523,0.7314550213110979,0.5573214285714285,0.96,336,0.5B,8192
lenshift,centroid,16,0.02,0.10559846246507607,0.9077252959517156,0.019230769230769232,0.4851190476190476,0.8288659700803045,0.5164583333333334,0.96,336,0.5B,8192
lenshift,centroid,16,0.05,0.03485791220535353,0.5134752560251648,0.05128205128205128,0.6398809523809523,0.8936342685242079,0.47744047619047614,1.024,336,0.5B,8192
lenshift,centroid,16,0.1,0.02046022865009576,0.39032864054783223,0.09935897435897434,0.7053571428571429,0.9187182408178384,0.4779583333333333,0.992,336,0.5B,8192
lenshift,centroid,16,0.15,0.011565785976342929,0.2615987025375207,0.15064102564102563,0.7589285714285714,0.9413149205352531,0.5132160340771823,1.0040053404539386,336,0.5B,8192
lenshift,centroid,32,0.0025,0.6793054545446018,2.010956243089865,0.00641025641025641,0.13095238095238096,0.576580427775984,0.6451465201465202,2.4615384615384617,336,0.5B,8192
lenshift,centroid,32,0.005,0.6793054545446018,2.010956243089865,0.00641025641025641,0.13095238095238096,0.576580427775984,0.5417857142857143,1.28,336,0.5B,8192
lenshift,centroid,32,0.01,0.1690760665323257,1.1100166304369568,0.01282051282051282,0.4375,0.79658420696191,0.582202380952381,1.28,336,0.5B,8192
lenshift,centroid,32,0.02,0.06711719663140903,0.9265398282560975,0.019230769230769232,0.5535714285714286,0.8417193721785845,0.47800595238095245,0.96,336,0.5B,8192
lenshift,centroid,32,0.05,0.0291906393152399,0.5485919356970101,0.05128205128205128,0.6607142857142857,0.8917392929126459,0.45196428571428576,1.024,336,0.5B,8192
lenshift,centroid,32,0.1,0.015533402035917073,0.3928696153225582,0.10256410256410256,0.7232142857142857,0.9169059591884984,0.4580357142857143,1.024,336,0.5B,8192
lenshift,centroid,32,0.15,0.012214047012216962,0.3087610342898567,0.14743589743589744,0.7410714285714286,0.9328137111744446,0.4778156589738699,0.9826435246995994,336,0.5B,8192
lenshift,centroid,64,0.0025,0.6785116514206252,1.5527398964502095,0.01282051282051282,0.14285714285714285,0.5887382375127614,0.603937728937729,4.923076923076923,336,0.5B,8192
lenshift,centroid,64,0.005,0.6785116514206252,1.5527398964502095,0.01282051282051282,0.14285714285714285,0.5887382375127614,0.5701190476190476,2.56,336,0.5B,8192
lenshift,centroid,64,0.01,0.6785116514206252,1.5527398964502095,0.01282051282051282,0.14285714285714285,0.5887382375127614,0.4678571428571428,1.28,336,0.5B,8192
lenshift,centroid,64,0.02,0.07915335890750501,0.8581670384350986,0.02564102564102564,0.5357142857142857,0.835025580374237,0.514702380952381,1.28,336,0.5B,8192
lenshift,centroid,64,0.05,0.034685988533060666,0.6005510660613449,0.05128205128205128,0.6339285714285714,0.8835632935404766,0.4299642857142857,1.024,336,0.5B,8192
lenshift,centroid,64,0.1,0.01797337775146986,0.403106007042405,0.10256410256410256,0.7053571428571429,0.9136803726975612,0.43616071428571435,1.024,336,0.5B,8192
lenshift,centroid,64,0.15,0.011929569493770142,0.32492652110832176,0.15384615384615385,0.7380952380952381,0.9289288356491077,0.4672102485854155,1.0253671562082778,336,0.5B,8192
lenshift,centroid,128,0.0025,0.6974354978289856,1.3567843908142336,0.02564102564102564,0.1488095238095238,0.5859451794449293,0.581959706959707,9.846153846153847,336,0.5B,8192
lenshift,centroid,128,0.005,0.6974354978289856,1.3567843908142336,0.02564102564102564,0.1488095238095238,0.5859451794449293,0.5841666666666667,5.12,336,0.5B,8192
lenshift,centroid,128,0.01,0.6974354978289856,1.3567843908142336,0.02564102564102564,0.1488095238095238,0.5859451794449293,0.536547619047619,2.56,336,0.5B,8192
lenshift,centroid,128,0.02,0.6974354978289856,1.3567843908142336,0.02564102564102564,0.1488095238095238,0.5859451794449293,0.4255059523809524,1.28,336,0.5B,8192
lenshift,centroid,128,0.05,0.07025827798152434,0.9401445843459809,0.05128205128205128,0.5357142857142857,0.8374453014412035,0.4051547619047619,1.024,336,0.5B,8192
lenshift,centroid,128,0.1,0.02509880885266639,0.5215385402525886,0.10256410256410256,0.6398809523809523,0.8943289182898055,0.4130714285714286,1.024,336,0.5B,8192
lenshift,centroid,128,0.15,0.016753298969559204,0.3576016871134725,0.15384615384615385,0.6934523809523809,0.9210340737122429,0.4434126454320046,1.0253671562082778,336,0.5B,8192
lenshift,centroid,256,0.0025,0.5678102124596667,1.8145127239153627,0.03250915750915751,0.14583333333333334,0.6018184765458243,0.7206959706959707,12.483516483516485,336,0.5B,8192
lenshift,centroid,256,0.005,0.5678102124596667,1.8145127239153627,0.03250915750915751,0.14583333333333334,0.6018184765458243,0.6546428571428572,6.491428571428571,336,0.5B,8192
lenshift,centroid,256,0.01,0.5678102124596667,1.8145127239153627,0.03250915750915751,0.14583333333333334,0.6018184765458243,0.5199404761904761,3.2457142857142856,336,0.5B,8192
lenshift,centroid,256,0.02,0.5678102124596667,1.8145127239153627,0.03250915750915751,0.14583333333333334,0.6018184765458243,0.4069047619047619,1.6228571428571428,336,0.5B,8192
lenshift,centroid,256,0.05,0.5678102124596667,1.8145127239153627,0.03250915750915751,0.14583333333333334,0.6018184765458243,0.26211904761904764,0.6491428571428571,336,0.5B,8192
lenshift,centroid,256,0.1,0.08158944363500442,0.9929963278277063,0.07867826617826619,0.5119047619047619,0.8213491350002016,0.3307202380952381,0.7855238095238095,336,0.5B,8192
lenshift,centroid,256,0.15,0.035653489523532284,0.8050915812583637,0.129502442002442,0.5892857142857143,0.8612700355351618,0.37659736791913023,0.8631190794074639,336,0.5B,8192
lenshift,centroid_ub,16,0.0025,1.1569727922700301,4.54411675220201,0.003205128205128205,0.05357142857142857,0.298091344288383,0.372481684981685,1.2307692307692308,336,0.5B,8192
lenshift,centroid_ub,16,0.005,0.7168447178910629,4.026256239436512,0.00641025641025641,0.11904761904761904,0.5080558198882539,0.5159523809523809,1.28,336,0.5B,8192
lenshift,centroid_ub,16,0.01,0.2822519036850791,3.0650413805082035,0.009615384615384616,0.3482142857142857,0.6739264310562911,0.4324404761904762,0.96,336,0.5B,8192
lenshift,centroid_ub,16,0.02,0.06311991109799525,1.4698149556839628,0.019230769230769232,0.5684523809523809,0.796142626967409,0.39502976190476186,0.96,336,0.5B,8192
lenshift,centroid_ub,16,0.05,0.04151222091500658,0.8439092921825191,0.05128205128205128,0.6517857142857143,0.8426215166891373,0.3460595238095238,1.024,336,0.5B,8192
lenshift,centroid_ub,16,0.1,0.02629134936217989,0.5941669158906917,0.09935897435897434,0.6875,0.8683178932655651,0.35795238095238097,0.992,336,0.5B,8192
lenshift,centroid_ub,16,0.15,0.019214358738370192,0.41204684850845674,0.15064102564102563,0.7113095238095238,0.8843299835713267,0.3991711170449488,1.0040053404539386,336,0.5B,8192
lenshift,centroid_ub,32,0.0025,0.918643000200745,4.133243287535867,0.00641025641025641,0.09226190476190477,0.4615653041098906,0.5533424908424909,2.4615384615384617,336,0.5B,8192
lenshift,centroid_ub,32,0.005,0.918643000200745,4.133243287535867,0.00641025641025641,0.09226190476190477,0.4615653041098906,0.4583333333333333,1.28,336,0.5B,8192
lenshift,centroid_ub,32,0.01,0.14764825858657124,1.5561312804148077,0.01282051282051282,0.4375,0.7389893642663777,0.5017261904761905,1.28,336,0.5B,8192
lenshift,centroid_ub,32,0.02,0.05642376891745943,1.2049272667853002,0.019230769230769232,0.5654761904761905,0.8001364309449405,0.39505952380952386,0.96,336,0.5B,8192
